FHLBank,FIPSStateCode,Income,Purpose,Term,First,BoAge,Rate,BoCreditScore,Amount
472522,66262,234660,1,360,2,54,0.0325,5,576000
472522,66262,137724,1,360,1,61,0.0338,5,510000
472522,66262,182292,1,360,1,36,0.0325,4,572040
472522,66262,177288,1,360,2,48,0.035,5,625500
472522,66262,166812,2,360,2,62,0.035,4,430400
472522,75628,141744,1,360,1,47,0.0325,1,566932
472522,75847,81192,1,360,1,53,0.0325,3,434137
472522,70628,208884,1,360,1,53,0.0363,5,447300
472522,66262,100728,1,360,1,29,0.0325,5,444352
472522,66262,200988,1,360,2,52,0.0338,5,500000
472522,66262,119340,1,360,2,46,0.035,5,479900
472522,75847,117660,2,360,2,38,0.0338,5,444650
472522,75847,99564,1,360,1,36,0.0363,5,480000
472522,66262,207168,2,360,2,45,0.0363,4,443300
472522,66262,297792,2,360,2,57,0.035,5,475000
472522,66262,80628,1,360,1,43,0.035,5,418800
472522,66262,229056,1,360,1,37,0.0338,5,499900
472522,75847,154236,1,360,2,60,0.0363,3,580000
472522,66262,127908,2,360,2,73,0.0325,5,464000
472522,66262,141192,1,360,2,51,0.035,5,536000
472522,60850,151596,1,360,1,33,0.0363,5,625500
472522,70628,161496,2,360,2,58,0.0325,5,492450
472522,64500,150012,1,360,1,35,0.035,4,589400
472522,66262,127044,1,360,2,65,0.0325,5,625000
472522,66262,114480,1,360,2,42,0.0325,5,562950
472522,66262,160092,2,360,2,45,0.035,5,547000
472522,66262,326244,1,360,1,50,0.035,5,625500
472522,75847,95820,2,360,2,45,0.035,4,434664
472522,66262,185592,1,360,2,50,0.0338,4,555000
472522,66262,151680,1,360,1,50,0.0325,5,525000
472522,66262,180828,1,360,2,50,0.035,5,583200
472522,66262,174828,1,360,2,50,0.0338,5,625000
472522,66262,178668,1,360,2,55,0.035,4,625000
472522,75847,86040,1,360,2,45,0.0325,3,448250
472522,64500,232296,2,360,2,51,0.0325,4,514000
472522,63909,194796,2,180,2,50,0.0288,4,398000
472522,66262,173028,2,180,2,54,0.0288,2,331065
472522,51244,84732,1,180,2,41,0.0275,2,177676
472522,50238,138900,2,180,2,42,0.0288,5,172000
472522,55653,82284,2,180,2,46,0.0275,4,57500
472522,47238,120204,2,180,2,65,0.0275,4,160000
472522,50238,125064,2,180,2,49,0.0275,3,126000
472522,51075,75744,1,180,2,30,0.0275,5,163922
472522,55653,286560,1,180,2,62,0.0288,5,300000
472522,51244,61800,2,180,2,53,0.03,4,127975
472522,45382,208716,2,180,2,49,0.0275,5,202000
472522,64129,159840,2,180,2,46,0.03,5,289500
472522,64129,188544,2,180,2,63,0.0275,5,114000
472522,49426,159108,2,180,2,45,0.0288,5,160000
472522,53906,153384,1,180,1,27,0.0288,5,175554
472522,47830,76344,2,180,2,57,0.0288,5,141500
472522,63909,149784,2,180,2,47,0.0275,5,249500
472522,66262,173772,2,180,2,53,0.0288,5,353439
472522,55653,324852,1,180,2,50,0.0275,5,345000
472522,47238,90000,2,180,2,51,0.03,5,242300
472522,64129,138792,2,180,2,45,0.0275,5,377000
472522,47830,74016,2,180,2,45,0.0288,5,75100
472522,51492,233136,2,180,2,56,0.0275,5,200000
472522,51494,81408,2,360,2,36,0.0325,4,375000
472522,48275,146112,2,360,2,41,0.0325,5,317500
472522,54736,82752,2,360,2,48,0.0325,4,113500
472522,44765,95676,1,360,1,54,0.0325,4,212640
472522,47238,118356,1,360,1,43,0.0338,4,310500
472522,75847,137592,2,360,2,58,0.0325,4,280374
472522,66262,47136,1,360,1,54,0.0338,4,149751
472522,66262,139500,1,360,1,54,0.0325,5,337095
472522,64129,32184,2,360,2,64,0.035,5,77500
472522,63909,115632,2,360,2,51,0.0325,5,266800
472522,49426,112164,1,360,2,72,0.0338,5,241406
472522,55702,85368,1,360,1,52,0.0338,5,142448
472522,47830,205656,1,360,2,48,0.0338,5,153900
472522,75847,109992,1,360,1,36,0.0338,4,309402
472522,55653,73656,1,360,2,56,0.0325,5,159900
472522,54996,48336,1,360,1,62,0.0338,3,25537
472522,66262,205440,2,360,2,43,0.0325,3,383800
472522,52431,89940,1,360,1,51,0.0325,5,245000
472522,66262,82908,2,360,2,66,0.0325,5,166125
472522,66262,185016,1,360,2,54,0.0325,5,410000
472522,44765,111096,2,360,2,48,0.0325,5,375000
472522,49426,90048,1,360,2,51,0.0338,5,268000
472522,44765,185340,2,360,2,52,0.0325,5,320000
472522,50238,39216,1,360,2,32,0.0325,5,184000
472522,47830,54588,1,360,1,38,0.0325,4,198790
472522,55653,72120,1,360,1,31,0.0325,4,128500
472522,55653,118800,1,360,2,35,0.0325,5,279125
472522,63909,146388,1,360,1,38,0.0325,4,193063
472522,49426,71100,2,360,2,66,0.0325,5,137000
472522,44765,71112,1,360,2,63,0.0325,5,232500
472522,51075,214056,2,360,2,60,0.0325,5,99000
472522,49426,81000,1,360,2,79,0.0325,5,154757
472522,75847,82260,1,360,2,34,0.0325,5,303631
472522,62912,103800,2,360,2,44,0.0338,5,381900
472522,51244,79068,2,360,2,72,0.0325,5,218000
472522,55653,135012,1,360,2,48,0.0325,5,307546
472522,63488,60564,1,360,1,31,0.0338,3,119000
472522,47830,200892,2,360,2,51,0.0325,3,234250
